City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,256.88,66,0,2.06,US,1706647312
1,atafu village,-8.5421,-172.5159,302.27,71,67,2.8,TK,1706647312
2,waingapu,-9.6567,120.2641,298.12,84,53,2.35,ID,1706647312
3,bethel,41.3712,-73.414,275.38,67,100,1.54,US,1706647157
4,hami,42.8,93.45,268.6,53,100,2.54,CN,1706647312
5,nadym,65.5333,72.5167,252.6,95,37,7.7,RU,1706647313
6,vorgashor,67.5833,63.95,260.0,95,100,4.74,RU,1706647313
7,longyearbyen,78.2186,15.6401,268.06,68,75,4.12,SJ,1706647313
8,christchurch,-43.5333,172.6333,294.49,74,39,3.09,NZ,1706647273
9,broken hill,-31.95,141.4333,289.59,48,0,10.02,AU,1706647024
10,gamba,-2.65,10.0,299.29,88,100,1.81,GA,1706647313
11,adamstown,-25.066,-130.1015,296.62,90,100,12.14,PN,1706647313
12,harstad,68.799,16.5293,278.81,94,100,32.63,NO,1706647314
13,olonkinbyen,70.9221,-8.7187,268.68,86,100,7.49,SJ,1706647314
14,kapa'a,22.0752,-159.319,297.65,79,100,3.58,US,1706647314
15,bowen,-20.0167,148.2333,299.9,85,100,1.84,AU,1706647314
16,cherdyn',60.403,56.4787,270.49,94,100,3.7,RU,1706647314
17,waitangi,-43.9535,-176.5597,290.83,97,100,2.24,NZ,1706647314
18,port-aux-francais,-49.35,70.2167,276.97,74,82,14.47,TF,1706647315
19,puerto ayora,-0.7393,-90.3518,304.13,78,87,5.25,EC,1706647315
20,praia,14.9215,-23.5087,296.45,64,5,6.17,CV,1706647213
21,wucheng,29.6008,118.175,285.9,98,100,0.54,CN,1706647315
22,lompoc,34.6391,-120.4579,296.31,52,0,0.45,US,1706647315
23,udachny,66.4167,112.4,244.71,100,98,1.26,RU,1706647316
24,corner brook,48.9667,-57.9484,262.24,90,2,0.69,CA,1706647108
25,jamestown,42.097,-79.2353,275.68,93,100,4.12,US,1706647316
26,tiksi,71.6872,128.8694,245.03,99,43,1.85,RU,1706647316
27,wailua homesteads,22.0669,-159.378,296.9,80,100,3.58,US,1706647316
28,port douglas,-16.4833,145.4667,301.05,84,100,2.64,AU,1706647316
29,yellowknife,62.456,-114.3525,262.44,92,100,5.66,CA,1706647316
30,monrovia,6.3005,-10.7969,302.02,83,18,4.69,LR,1706647317
31,gereida,11.2811,25.1414,294.05,16,88,6.36,SD,1706647317
32,thompson,55.7435,-97.8558,277.24,75,75,3.6,CA,1706647317
33,guerrero negro,27.9769,-114.0611,296.03,36,0,4.47,MX,1706647317
34,lata,40.1629,-8.3327,285.33,78,99,2.02,PT,1706647317
35,east london,-33.0153,27.9116,295.81,81,100,1.8,ZA,1706647317
36,pumiao,22.75,108.4833,286.37,99,100,0.77,CN,1706647318
37,remire-montjoly,4.9167,-52.2667,303.17,79,75,4.12,GF,1706647318
38,weno,7.4515,151.8468,300.12,74,100,4.12,FM,1706647318
39,tananger,58.9333,5.6,276.55,78,40,0.0,NO,1706647318
40,susuman,62.7833,148.1667,234.7,100,95,0.41,RU,1706647318
41,goundam,16.4145,-3.6708,295.29,13,0,4.86,ML,1706647318
42,vilyuchinsk,52.9306,158.4028,258.67,77,97,3.47,RU,1706647319
43,edinburgh of the seven seas,-37.0676,-12.3116,287.59,60,67,4.59,SH,1706647319
44,albany,42.6001,-73.9662,273.44,81,100,2.53,US,1706647214
45,tarfaya,27.9358,-12.9218,293.03,59,80,5.05,MA,1706647319
46,mantua,45.1667,10.7833,274.73,71,94,1.25,IT,1706647319
47,hovd,48.0056,91.6419,250.98,96,92,0.19,MN,1706647319
48,bilibino,68.0546,166.4372,240.23,99,100,0.19,RU,1706647320
49,reggane,26.7158,0.1714,292.28,23,0,7.04,DZ,1706647320
50,ilulissat,69.2167,-51.1,249.16,49,66,3.09,GL,1706647320
51,kaspiyskiy,45.3929,47.3707,270.49,77,94,7.01,RU,1706647320
52,puerto natales,-51.7236,-72.4875,291.4,52,100,12.86,CL,1706647320
53,grytviken,-54.2811,-36.5092,277.73,76,21,4.17,GS,1706647320
54,hithadhoo,-0.6,73.0833,300.64,76,72,2.36,MV,1706647321
55,kisesa,-3.0833,34.15,291.02,94,100,1.98,TZ,1706647321
56,ushuaia,-54.8,-68.3,288.96,55,75,5.14,AR,1706647321
57,port elizabeth,-33.918,25.5701,295.55,84,0,1.54,ZA,1706647321
58,puerto baquerizo moreno,-0.9,-89.6,299.7,89,75,5.14,EC,1706647321
59,iqaluit,63.7506,-68.5145,252.42,63,100,5.66,CA,1706647322
60,fada,9.5667,8.3,297.35,23,76,3.45,NG,1706647322
61,rikaze,29.25,88.8833,269.06,46,2,2.44,CN,1706647322
62,ribeira brava,32.65,-17.0667,292.6,78,100,1.55,PT,1706647322
63,port alfred,-33.5906,26.891,295.47,90,100,0.45,ZA,1706647322
64,talnakh,69.4865,88.3972,256.04,81,100,4.81,RU,1706647322
65,la passe,45.5549,-0.8967,284.28,89,37,2.05,FR,1706647323
66,vacaria,-28.5122,-50.9339,295.58,79,29,1.12,BR,1706647217
67,morteau,47.0667,6.6167,277.92,75,0,0.51,FR,1706647323
68,sosnovo-ozerskoye,52.5249,111.5418,236.68,100,83,1.11,RU,1706647323
69,sa kaeo,13.75,102.3333,296.8,74,10,2.08,TH,1706647323
70,sharm el-sheikh,27.8518,34.305,289.23,36,0,2.57,EG,1706647324
71,soio,-6.1349,12.3689,300.21,87,100,2.55,AO,1706647324
72,vega de alatorre,20.0333,-96.6333,293.65,72,100,2.4,MX,1706647324
73,taos,36.4072,-105.5731,284.96,32,0,1.54,US,1706647324
74,rudnyy,52.9594,63.1206,263.28,99,75,3.4,KZ,1706647325
75,bardai,11.65,7.2333,294.93,20,60,5.31,NG,1706647325
76,krotovka,53.2858,51.1686,270.94,90,39,7.04,RU,1706647325
77,college,64.8569,-147.8028,246.12,68,75,0.0,US,1706647325
78,blackmans bay,-43.0167,147.3167,288.22,66,100,1.34,AU,1706647325
79,aiquile,-18.2041,-65.1807,293.29,68,61,5.48,BO,1706647325
80,constantia,44.1833,28.65,270.53,77,37,4.17,RO,1706647326
81,bredasdorp,-34.5322,20.0403,293.03,81,100,3.56,ZA,1706647326
82,valdemorillo,40.5006,-4.0671,283.49,61,47,1.38,ES,1706647326
83,kone,-21.0595,164.8658,299.71,74,92,0.3,NC,1706647326
84,port mathurin,-19.6833,63.4167,300.62,77,100,8.93,MU,1706647326
85,weligama,5.9667,80.4167,297.56,91,11,1.63,LK,1706647327
86,bonthe,7.5264,-12.505,299.63,83,12,3.67,SL,1706647327
87,constitucion,-35.3333,-72.4167,295.76,50,71,7.98,CL,1706647327
88,stanley,54.868,-1.6985,277.48,87,20,3.09,GB,1706647327
89,pisco,-13.7,-76.2167,302.18,58,0,6.69,PE,1706647327
90,invercargill,-46.4,168.35,289.83,75,29,1.79,NZ,1706647090
91,fortuna,40.5982,-124.1573,295.57,39,0,10.29,US,1706647328
92,fort st. john,56.2499,-120.8529,282.09,43,20,13.38,CA,1706647130
93,margaret river,-33.95,115.0667,287.54,86,3,3.66,AU,1706647328
94,georgetown,5.4112,100.3354,300.11,75,20,4.12,MY,1706647328
95,kailua-kona,19.6406,-155.9956,299.13,87,100,4.12,US,1706647038
96,port augusta,-32.5,137.7667,289.57,60,0,7.35,AU,1706647329
97,lihue,21.9789,-159.3672,297.24,80,100,1.54,US,1706647248
98,keflavik,64.0049,-22.5624,272.39,74,75,12.35,IS,1706647329
99,west island,-12.1568,96.8225,300.14,74,40,2.06,CC,1706647329
100,ust-nera,64.5667,143.2,237.52,100,100,1.46,RU,1706647329
101,sanctuary point,-35.1114,150.629,294.44,92,100,3.9,AU,1706647330
102,nhamunda,-2.1861,-56.7131,302.3,81,73,0.98,BR,1706647275
103,bismarck,46.8083,-100.7837,284.19,73,0,3.6,US,1706647200
104,avarua,-21.2078,-159.775,303.18,70,81,3.09,CK,1706647330
105,punta arenas,-53.15,-70.9167,289.16,87,100,3.6,CL,1706647323
106,hamilton,39.1834,-84.5333,275.62,94,100,3.09,US,1706647032
107,mili,6.0815,171.735,299.75,82,100,0.97,MH,1706647331
108,ormara,25.2088,64.6357,295.89,74,100,4.87,PK,1706647331
109,whitehorse,60.7161,-135.0538,276.58,66,20,7.2,CA,1706647331
110,pedernales,18.0384,-71.744,298.69,78,24,1.06,DO,1706647332
111,tolanaro,-25.0319,46.9987,298.19,83,40,5.14,MG,1706647332
112,mao,39.8885,4.2658,284.46,82,40,2.06,ES,1706647332
113,trunovskoye,45.4878,42.1358,270.87,86,28,2.45,RU,1706647332
114,utrik,11.2278,169.8474,299.26,74,100,8.97,MH,1706647332
115,aykhal,66.0,111.5,248.9,100,99,1.65,RU,1706647333
116,sao jose da coroa grande,-8.8978,-35.1478,299.99,70,12,4.18,BR,1706647333
117,vila franca do campo,37.7167,-25.4333,289.38,91,35,1.93,PT,1706647333
118,sirsilla,18.3833,78.8333,293.39,52,8,3.2,IN,1706647333
119,nar'yan-mar,67.6713,53.087,267.26,92,73,4.7,RU,1706647334
120,klaksvik,62.2266,-6.589,280.66,92,100,14.03,FO,1706647334
121,kirensk,57.7853,108.1119,235.35,100,52,0.89,RU,1706647334
122,blackfoot,43.1905,-112.345,282.03,75,8,2.06,US,1706647334
123,egilsstadir,65.2653,-14.3948,269.1,80,40,4.12,IS,1706647334
124,fisterra,42.9049,-9.2629,285.23,75,97,1.79,ES,1706647335
125,tateyama,34.9833,139.8667,283.25,62,3,2.06,JP,1706647335
126,mae hong son,19.3003,97.9685,288.98,95,5,0.33,TH,1706647335
127,hawaiian paradise park,19.5933,-154.9731,301.98,67,0,1.54,US,1706647335
128,geraldton,-28.7667,114.6,294.38,78,0,4.63,AU,1706647336
129,ribeira grande,38.5167,-28.7,289.37,82,20,3.09,PT,1706647336
130,hermanus,-34.4187,19.2345,294.15,77,65,3.91,ZA,1706647336
131,papatowai,-46.5619,169.4708,289.68,67,55,2.54,NZ,1706647336
132,sungailiat,-1.85,106.1333,299.26,85,100,3.95,ID,1706647337
133,porto novo,6.4965,2.6036,302.05,75,5,3.02,BJ,1706647337
134,yorkton,51.2167,-102.4677,279.06,70,0,4.12,CA,1706647137
135,chagoda,59.164,35.3285,266.32,97,98,1.92,RU,1706647337
136,raymondville,26.4815,-97.7831,295.9,33,100,1.81,US,1706647338
137,port saint john's,-31.6229,29.5448,296.41,90,99,0.34,ZA,1706647338
138,howrah,22.5892,88.3103,294.15,78,75,3.09,IN,1706647338
139,hadibu,12.65,54.0333,297.59,78,90,3.8,YE,1706647338
140,ban karon,7.8477,98.2985,297.1,77,36,7.08,TH,1706647338
141,haiku-pauwela,20.9219,-156.3051,298.8,82,75,6.17,US,1706647339
142,happy valley-goose bay,53.3168,-60.3315,261.32,37,20,7.2,CA,1706647339
143,brasileia,-11.0161,-68.7481,303.4,79,75,2.57,BR,1706647339
144,viedma,-40.8135,-62.9967,305.12,34,73,6.36,AR,1706647340
145,kununurra,-15.7667,128.7333,298.14,88,79,0.51,AU,1706647340
146,angaur state,6.906,134.13,300.25,84,87,9.95,PW,1706647340
147,petropavlovsk-kamchatsky,53.0452,158.6483,257.85,94,75,4.0,RU,1706647340
148,nuuk,64.1835,-51.7216,260.49,61,100,10.8,GL,1706647341
149,cabo san lucas,22.8909,-109.9124,302.32,39,75,4.63,MX,1706647228
150,macapa,0.0389,-51.0664,302.14,74,40,3.09,BR,1706647341
151,rio grande,-32.035,-52.0986,302.21,66,22,6.56,BR,1706647341
152,yantarnyy,54.8717,19.9381,276.07,80,100,7.63,RU,1706647342
153,sal rei,16.1833,-22.9167,296.25,72,0,6.56,CV,1706647342
154,campbellton,48.0075,-66.6727,264.4,91,79,0.32,CA,1706647342
155,argo,37.6333,22.7333,276.61,93,96,2.46,GR,1706647343
156,coquimbo,-29.9533,-71.3436,293.0,77,75,4.63,CL,1706647343
157,anadyr,64.75,177.4833,240.43,74,0,3.0,RU,1706647343
158,rabak,13.1809,32.74,295.95,14,76,6.87,SD,1706647344
159,balykchy,42.4557,76.1861,271.93,89,96,0.45,KG,1706647344
160,mawu,29.5923,107.3139,280.04,88,100,0.22,CN,1706647344
161,konstantinovka,49.6167,127.9833,239.87,100,99,0.84,RU,1706647344
162,chegdomyn,51.1167,133.0167,240.74,100,98,0.86,RU,1706647345
163,fale old settlement,-9.3852,-171.2468,302.63,69,35,2.45,TK,1706647345
164,kristiansund,63.1115,7.732,274.51,55,0,1.54,NO,1706647345
165,al mishkhab,31.8042,44.4911,286.21,37,53,4.88,IQ,1706647345
166,afif,23.9065,42.9172,287.95,25,45,2.56,SA,1706647346
167,bangassou,4.7413,22.8184,296.84,40,98,0.58,CF,1706647346
168,benjamin hill,30.1667,-111.1,293.25,45,100,6.82,MX,1706647346
169,motygino,58.1831,94.7592,242.47,99,6,1.79,RU,1706647346
170,ende,-8.8432,121.6623,299.27,87,92,1.16,ID,1706647346
171,puerto aysen,-45.4,-72.7,287.37,95,100,2.1,CL,1706647347
172,neubulach,48.6609,8.6961,280.87,75,100,1.31,DE,1706647347
173,nagqu,31.5,92.0,260.11,45,100,1.12,CN,1706647347
174,el granada,37.5027,-122.4694,294.53,74,0,3.6,US,1706647348
175,mount pearl,47.5166,-52.7813,267.34,81,100,7.72,CA,1706647348
176,dowlatabad,32.7998,51.6955,271.97,64,0,1.03,IR,1706647348
177,tingi,-11.3,35.0333,290.99,83,72,0.75,TZ,1706647348
178,north bend,43.4065,-124.2243,288.84,88,100,0.0,US,1706647348
179,tazovsky,67.4667,78.7,253.36,93,92,6.81,RU,1706647349
180,alo,7.4178,6.7371,303.46,20,86,0.72,NG,1706647349
181,vilyuysk,63.7553,121.6247,247.03,99,100,1.48,RU,1706647349
182,alofi,-19.0595,-169.9187,300.99,87,99,6.83,NU,1706647349
183,horta,38.5333,-28.6333,288.95,87,20,3.09,PT,1706647350
184,luwingu,-10.2621,29.9271,289.96,96,73,1.82,ZM,1706647350
185,bereznik,62.8551,42.7072,271.32,90,48,3.51,RU,1706647350
186,tromso,69.6496,18.957,279.16,61,75,20.06,NO,1706647350
187,dolores,-36.3132,-57.6792,304.52,37,19,8.35,AR,1706647350
188,isiro,2.7739,27.616,293.86,46,99,1.05,CD,1706647351
189,sokoni,-6.4333,39.55,300.62,84,99,4.82,TZ,1706647351
190,dryden,49.7833,-92.7503,271.31,93,100,5.66,CA,1706647351
191,qaqortoq,60.7167,-46.0333,252.65,73,74,3.72,GL,1706647351
192,iskateley,67.6803,53.1512,266.99,93,76,4.59,RU,1706647351
